Deposit/Project Name,Country,Primary Mineral deposit Type,Secondary Mineral deposit Type,Other Mineral deposit Type,Min. ResC Mt,Min. ResV Mt,Min. ResC Cu %,Min. ResV Cu %
El Salvador (Chile),Chile,Porphyry,Cu,,4878.0,53.0,0.3775461255,0.57
El Soldado,Chile,IOCG,Olympic Dam-type,Manto,234.9,88.8,0.6683312048,0.82
El Teniente,Chile,Porphyry,Cu,,17850.0,1683.0,0.5565602241,0.89
El Teniente Tailings,Chile,Tailings,Porphyry,Cu,1493.814,,0.1546136748,
Encuentro,Chile,Porphyry,,,1212.3,115.6,0.4259193269,0.54
Escalones,Chile,Porphyry,Cu-Ag,Also skarn,1428.541,,0.2501632456,
Escondida-Chimborazo,Chile,Porphyry,,,223.0,,0.5376681614,
Escondida-Main,Chile,Porphyry,Cu,,19186.0,8397.0,0.5437157302,0.6024080029
Escondida-Pampa Escondida,Chile,Porphyry,Cu,,7444.0,,0.4524879097,
Escondida-Pinta Verde,Chile,Porphyry,Cu,,248.0,,0.5466532258,
Farola,Chile,VMS,,,1.0,,1.5,
Filo del Sol,Chile,Porphyry,Cu-Au-Ag,,458.8,,0.34,
Franke ,Chile,IOCG,,,29.923,18.953,0.8082819236,0.86
Frontera,Chile,IOCG,Olympic Dam-type,,50.5,,0.4,
Gabriela Mistral (Minera Gaby),Chile,Porphyry,Cu,,1008.0,430.0,0.3398214286,0.35
Inca de Oro,Chile,Porphyry,Cu-Au,,460.0,,0.360673913,
Ivan,Chile,Porphyry?,,,24.852558,,1.25,
Josemaria,Chile,Porphyry,Cu-Au-Ag,,1554.0,,0.2581788932,
Llahuin,Chile,Porphyry?,Cu-Au,,306.5,,0.2452071778,
Llano-Paleocanal,Chile,Porphyry,Exotic Cu associated with porphyry,,45.6,,0.5037719298,
Lomas Bayas,Chile,Porphyry,Cu,,2121.0,653.0,0.2745874587,0.2514854518
Los Bronces-Los Bonces Sur,Chile,Porphyry,Cu-Mo,,7910.5,1597.6,0.6351707225,0.5193621683
Los Helados,Chile,Porphyry,Cu-Au-Ag,,2926.0,,0.3630416951,
Los Pelambres ,Chile,Porphyry,Cu,,6104.1,1308.7,0.51,0.61
Los Volcanes (Conchi),Chile,Porphyry,,,1903.8,,0.4969660679,
Lucy-Vicky,Chile,Porphyry,,,414.7,,0.337757415,
Mantos Blancos,Chile,IOCG,Olympic Dam-type,Manto,328.8,99.8,0.4459823601,0.4888577154
Mantoverde,Chile,IOCG,Olympic Dam-type,Manto,189.5,91.9,0.3272242744,0.3591947769
Michilla,Chile,Manto-Cu,IOCG?,,60.3,,1.64,
Mina Angela,Chile,Epithermal,,,0.665,,0.49,
Mina Claudia,Chile,Epithermal?,,,0.872659,,0.65,
Mina San Antonio Antiguo,Chile,Epithermal?,,,3.44644,,0.42,
Mina San José Profundo,Chile,Epithermal?,,,3.07217,,0.6,
Mina San José Superior,Chile,Epithermal?,,,1.31971,,0.5,
Mina Zona Barbara,Chile,Epithermal?,,,4.654482,,0.54,
Ministro Hales,Chile,Porphyry,Cu-Mo,,1889.0,239.0,0.7683695077,1.05
Mirador,Chile,Porphyry,,,50.6,,0.3442687747,
Mollacas,Chile,Porphyry,Cu,,15.5,,0.51,
Nora-Berta,Chile,Porphyry,,,29.996,,0.2921159488,
Pascua-Lama,Chile,Epithermal,High sulphidation,,324.626,324.626,0.07145929162,0.07145929162
Penacho Blanco,Chile,Porphyry,,,292.8,,0.4058674863,
Pimenton,Chile,Epithermal,High sulphidation,,0.295,0.138,1.3,1.2
Polo Sur,Chile,Porphyry,,,1543.7,,0.3448778908,
Potrerillos,Chile,Porphyry,,,170.0,,1.1,
Productora,Chile,IOCG,Olympic Dam-type,,214.3,90.5,0.48,0.48
Punitaqui,Chile,Epithermal,High sulphidation?,,7.35,1.3,1.150068027,1.44
Quebrada Blanca,Chile,Porphyry,Cu,,4659.0,1598.0,0.4125065465,0.491853567
Radomiro Tomic,Chile,Porphyry,Cu,,7344.0,2174.0,0.4166748366,0.5
Relincho,Chile,Porphyry,Cu,,2246.9,1239.1,0.3668659041,0.3735130337
Rencoret,Chile,Sediment-hosted Stratiform/Stratabound Cu,Maybe a manto?,,20.0,,1.11,
Rosario-Rosario Oeste,Chile,Porphyry,,,3410.0,,0.82,
Santo Domingo,Chile,IOCG,,,571.9,391.7,0.3025458996,0.3
Sierra Gorda,Chile,Porphyry,Cu,,1786.376364,1545.576364,0.3965691542,0.3989961968
Sierra Medina,Chile,Manto-Cu,Porphyry-related?,,12.2,,1.18,
Spence,Chile,Porphyry,Cu,,2637.8,257.0,0.4609689893,0.7132684825
Ticnámar,Chile,Porphyry,,,500.0,,0.2,
Tovaku JV (Puntilla Galenosa),Chile,Porphyry,,,540.0,,0.25,
Tres Valles (Don Gabriel-Papomono),Chile,Porphyry/IOCG?,,,30.0,,1.5,
Vallecillo-La Colorada,Chile,Porphyry,,,27.890775,,0.07545104107,
Viscachitas,Chile,Porphyry,,,1838.0,,0.3282442873,
West Wall,Chile,Porphyry,Cu-Mo,,1465.0,,0.5036518771,
Zaldivar,Chile,Porphyry,Cu,,582.278,455.324,0.5253547481,0.5492553434
Ashele,China,VMS,,,42.369,21.61,1.707380396,2.15
Badaguan,China,Porphyry,,,43.5,,0.44,
Baimashi,China,Porphyry,,,27.77125,,0.49,
Bainamiao,China,Porphyry,,,65.0,,0.8,
Baiyunshan,China,Porphyry,,,15.64102564,,0.78,
Bajiazi,China,Sediment-hosted Pb-Zn,,,22.0,,0.3,
Balazha,China,Porphyry,Skarn,,1.449275362,,0.69,
Baogutu,China,Porphyry,,,225.0,,0.28,
Beiya,China,Porphyry-Skarn,,,125.0,,0.52,
Bijiashan,China,Sediment-hosted Pb-Zn,,,10.5,,0.65,
Bolong,China,Porphyry,,,760.0,,0.5,
Chang'an,China,Porphyry,,,5.683333333,,1.5,
Chehugou,China,Porphyry,,,178.6,,0.14,
Chengmenshan,China,Porphyry,,,409.0,,0.75,
Chenjiamiao,China,VMS,,,14.6,,0.71,
Chimashan,China,Porphyry,,,0.553,0.016,0.8416455696,0.73
Chongjiang,China,Porphyry,,,74.62686567,,0.67,
Dabaoshan,China,Sediment-hosted Pb-Zn,,,147.0,,0.62,
Dahongshan,China,VMS,,,192.0,,0.78,
Damajianshan,China,Porphyry,,,15.239,7.554,1.68,1.46
Dapingzhang,China,Orogenic Au,Should be some gold in here,,63.0,,0.8,
Dexing,China,Porphyry,,,1825.0,,0.459,
Dishui,China,Sediment-hosted Stratiform/Stratabound Cu,,,29.735,1.586,1.052513873,0.8241803279
Dongga,China,Porphyry,,,420.0,,0.65,
Duobaoshan,China,Porphyry,,,603.05,389.49,0.3811022303,0.37
Duobuza,China,Porphyry,,,287.2340426,,0.94,
Duolong,China,Porphyry,,,750.0,,0.72,
Duoxiasongduo,China,Porphyry,,,248.0,,0.38,
Fengshan,China,Porphyry,Also skarn,,26.55,6.6,0.8,0.85
Fengshangdong,China,Porphyry,,,105.0,,0.38,
Gacun,China,VMS,,,42.0,,0.44,
Gayiqiong (Gaerqiong),China,Porphyry,Skarn,,6.7,,0.9,
Gegongnong,China,Porphyry,,,101.0,,0.5,
Guomisi,China,VMS,,,4.9,,0.89,
Gutian,China,Porphyry,,,194.11,,0.1499737262,
Hami,China,Porphyry,,,29.92,,0.6958790107,
Honggou,China,VMS,,,3.7,,3.66,
Houyu,China,Porphyry,,,110.0,,0.037,
Huangshandong-Huangshan-Xiangshan,China,Magmatic Sulphide,Intrusion-related,,81.987278,32.105633,0.27,0.31
Huangshaping,China,Skarn,,,20.35,,1.12,
Huanren,China,Sediment-hosted Pb-Zn,,,15.4,,0.74,
Hunchun Xiaoxinancha (Hunchun Zijin),China,Porphyry,,,161.47,86.0,0.1681488821,0.18
Huogeqi,China,Sediment-hosted Pb-Zn,,,97.8,,1.1,
Jialongzhang,China,VMS,,,8.6,,1.3,
Jiama,China,Porphyry,,,1887.9,436.59,0.3879765877,0.61
Jiawula,China,Epithermal,,,5.0,,0.4,
Jinchuan,China,Magmatic Sulphide,Magmatic feeder,,526.0,,0.6944444444,
Jinduicheng,China,Porphyry,,,1400.0,,0.028,
Kalatongke,China,Magmatic Sulphide,Intrusion-related,,31.709387,17.763625,1.0,1.03
Keketale,China,VMS,,,64.2,,0.08,
Lalachang,China,VMS,,,258.2,,0.94,
Lannitang,China,Porphyry,,,116.0,,0.3121551724,
Laojiagou,China,Porphyry,,,185.7142857,,0.13,
Langdu,China,Porphyry,,,3.97,,1.92,
Langlik,China,VMS,,,6.6,,0.5,
LaoXue,China,Sediment-hosted Stratiform/Stratabound Cu,,,50.0,,1.0,
Liwu,China,VMS,,,31.0,,2.52,
Liziping,China,Skarn,,,3.112683082,,0.8417175573,
Longjiangting,China,Porphyry,Transitional epithermal-porphyry,,47.17,,0.3235255459,
Luoboling,China,Porphyry,,,487.2,,0.3388587849,
Luojiahe,China,VMS,,,23.42342342,,1.11,
Machangqing,China,Porphyry,,,62.0,,0.5,
Malasongduo,China,Porphyry,,,338.0,,0.45,
Mangzong,China,Porphyry,,,135.0,,0.43,
Mengya,China,Skarn,,,2.0,,0.5,
Miaogou-Sanguikou,China,Sediment-hosted Pb-Zn,,,91.13576613,,0.1248459959,
Nadun,China,Epithermal,High sulphidation,,0.14,,0.75,
Naoniushan,China,Porphyry,,,24.24242424,,0.66,
Naruo,China,Porphyry,,,289.8550725,,0.69,
Newtongmen,China,Porphyry,,,865.382125,,0.2724653936,
Pulang,China,Porphyry,,,803.8461538,,0.52,
Qinghai Deerni,China,VMS,,,27.4,,1.13270073,
Qiushuwan,China,Porphyry,,,62.5,,0.8,
Qulong,China,Porphyry,,,1778.0,,0.45,
Saishitang,China,Porphyry,,,128.0,,1.13,
Sanfengshan,China,VMS,,,0.736,0.407,2.579402174,2.8204914
Sareke,China,Sediment-hosted Stratiform/Stratabound Cu,,,20.48,9.701,1.055878906,1.12
Shangjiazhuang,China,Porphyry,,,71.0,,0.047,
Shaxi,China,Porphyry,,,49.0,,0.4,
Shiqingdong,China,VMS,,,3.2,,0.57,
ShiShan,China,Sediment-hosted Stratiform/Stratabound Cu,,,52.0,,1.09,
ShiZhiShan,China,Sediment-hosted Stratiform/Stratabound Cu,,,15.0,,0.92,
Shuguang,China,Porphyry,,,72.42380391,,1.460187086,
Sigequan,China,VMS,,,10.0,,1.2,
Southern Tiegelong,China,Porphyry,,,529.0,,0.55,
Taipingshan,China,Porphyry,,,9.166666667,,0.48,
Taiyangshan,China,Porphyry,,,1.538461538,,0.52,
TangDan,China,Sediment-hosted Stratiform/Stratabound Cu,,,100.0,,1.0,
Tanyaokou,China,Sediment-hosted Pb-Zn,,,63.3,,0.74,
Tiegelongnan,China,Porphyry,,,2089.0,,0.53,
Tongchang,China,VMS,,,8.93,,2.91,
Tongchankou,China,Porphyry,,,45.0,,0.94,
Tongchangjie,China,VMS,,,0.6,,1.87,
Tonghui,China,Sediment-hosted Stratiform/Stratabound Cu,,,6.222,4.401,1.871822565,1.928732106
Tongkuangyu (Zhongtiaoshan),China,Porphyry,,,440.0,,0.69,
Tonglvshan (Tongshan),China,Porphyry,,,27.23,11.4,1.2,1.04
Tongshankou,China,Porphyry,,,40.67,9.8,0.7,0.67
Tongyu,China,VMS,,,10.5,,0.62,
Tongyugou,China,VMS,,,40.0,,1.25,
Tuwu,China,Porphyry,,,280.0,,0.75,
Wangjiazhuang,China,Porphyry,substantial skarn,,4.554455446,,1.01,
Weilasituo,China,Epithermal,Low sulphidation,Linked with a porphyry,10.0,,1.2,
Weiquan,China,Sediment-hosted Pb-Zn,,,18.0,,0.45,
Wunugetushan,China,Porphyry,,,478.2608696,,0.46,
Xiacun,China,VMS,,,8.2,,1.04,
Xialiugou,China,VMS,,,2.4,,1.23,
Xiaorequanzi,China,VMS,,,5.0,,3.0,
Xiaosigou,China,Porphyry,,,18.0,,0.73,
Xiaotieshan,China,VMS,,,26.3,,1.26,
Xietongmen,China,Porphyry,,,219.8,182.1,0.43,0.45
Xifanping,China,Porphyry,,,64.28571429,,0.28,
Xinan,China,Porphyry,,,10.0,,0.2,
Xing'a,China,Porphyry,,,235.7723577,,0.123,
Xinqiao,China,Skarn,,,70.42253521,,0.71,
Xiqiu,China,VMS,,,14.6,,1.03,
Xuejiping,China,Porphyry,,,60.0,,0.5,
Yandong,China,Porphyry,,,372.0,,0.58,
Yanxi,China,Porphyry,,,22.34,,0.7370322292,
Yindongzi,China,Sediment-hosted Pb-Zn,,,10.0,,0.56,
YinMin,China,Sediment-hosted Stratiform/Stratabound Cu,,,40.0,,1.0,
Yinmusi,China,Sediment-hosted Pb-Zn,,,4.4,,0.08,
Yinshan,China,Porphyry,,,83.0,,0.52,
Yuanzhuding,China,Porphyry,,,600.0,,0.1633333333,
Yueyang,China,Epithermal,,,56.6,,0.1826855124,
Yulong,China,Porphyry,,,850.0,,0.84,
Zhanaga,China,Porphyry,,,99.5,,0.32,
Zheyaoshan,China,VMS,,,95.0,,1.22,
Zhunuo,China,Porphyry,,,120.4819277,,0.83,
Zijinshan,China,Porphyry,,,536.0,417.0,0.4758208955,0.39
Acandi,Colombia,Epithermal,High sulphidation,,625.0,,0.77,
California,Colombia,Epithermal,High sulphidation,,148.5324,,0.05738340726,
El Alacrán,Colombia,Skarn,,,7.523862,,1.92,
El Roble,Colombia,VMS,,,2.194,,3.506162261,
Guadalupe (Azufral),Colombia,VMS,,,28.0,,1.8,
La Bodega (La Moscata),Colombia,Epithermal,High sulphidation,,64.128,,0.09,
La Mina-La Cantera,Colombia,Porphyry,,,118.812407,,0.159613911,
Quebradona (Nuevo Chaquiro),Colombia,Porphyry,,,565.66,,0.64,
Quinchía-Batero Group,Colombia,Porphyry,,,165.2,,0.09986077482,
Quinchía-Dos Quebradas North,Colombia,Porphyry,,,57.794,,0.04,
Mocoa,Colombia,Porphyry,,,347.0,,0.3895100865,
Pegadorcito-Pantanos,Colombia,Porphyry,,,700.0,,0.736,
Sababablanca,Colombia,VMS,,,0.1,,5.0,
Santa Anita,Colombia,VMS,,,0.5,,2.8,
Titiribi-Cerro Vetas,Colombia,Porphyry,,,503.7,,0.1044744888,
Yanga-Koubanza,Congo-RoC,Sediment-hosted Pb-Zn,,,5.5,,1.87,
Bangwe Est,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,0.9,,2.0,
Chimbedia,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,1.2,,1.9,
Dikulushi,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co-U-PGE,,1.514,,6.522721268,
Disele Sud,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,5.8,,1.8,
Etoile-Etoile Extension,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,23.48754,,2.14489531,
Frontier,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,273.9,99.8,1.2,1.2
Kababankola (Kabankola),Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,4.8,,1.3,
Kabolela,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,8.9,1.2,1.3,1.8
Kabusanje,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,0.373,,1.58310992,
Kakanda North/South,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,94.4,,2.3,
Kakanda Tailings,Congo-DRC,Tailings,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,18.5,,1.2,
Kakula,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,293.0,,3.205255973,
Kalongwe,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,10.41,,2.650470701,
Kalukundi,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,27.175082,7.8,2.536074775,2.37
Kalumines Group,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,70.139,,1.956395871,
Kamoa,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu,,1001.0,,2.449170829,
Kamoto Group,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co-U-PGE,,407.6,98.5,3.667595682,3.91
Kanika,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,2.8,,2.4,
Kapulo (Shaba-Safari),Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu,,9.098,3.04,2.698236975,3.365345395
Kavundi Central,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,3.6,,3.1,
Kazumbula,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,0.202,,1.957079208,
Kolwezi-Kingamyambo Tailings,Congo-DRC,Tailings,Sediment-hosted Stratiform/Stratabound Cu,,42.3,,1.3,
Kinsevere,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,53.3,14.2,2.782926829,3.423943662
Kipoi Group,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,71.1,49.3,1.2292827,1.3
Kipushi,Congo-DRC,Sediment-hosted Pb-Zn,MVT?,,25.975458,,2.184176513,
Kisanfu,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu?,,,96.0,,2.812916667,
Lubembe,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,90.6,,2.0,
Luisha South (incl. Stockpiles),Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,includes Stockpiles,15.07,,1.097544791,
Luita Est (Ecaille Sud),Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,2.3,,2.0,
Lupoto-Sase,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,12.4,,1.123548387,
Manga,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,59.9,,2.4,
Mashitu (Principal-Safwe Nord-Sud),Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,21.3,7.0,2.011737089,2.0
Miniere de Musoshi et Kinsenda SARL,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu,,21.0,6.1,5.5,4.8
Mufunta,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,1.220817,,1.51,
Mukondo Mountain,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,4.3,1.5,1.3,1.5
Musonoi-Dilala East,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co-U-PGE,,31.7,,2.8,
Musonoi-Kasobantu,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,70.5,,1.6,
Mutanda,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,660.0,156.8,1.156590909,2.035612245
Pungulume East (1-2-3-4-Principal),Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,9.4,,1.953191489,
Ruashi,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,26.9,8.9,2.4,2.3
Saafi,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,1.1,,2.5,
Shabulungu Est,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,0.6,,2.9,
Taratara,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,,,2.4,,1.4,
Tenke Fungurume,Congo-DRC,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co,,1256.992,144.362,2.321106737,2.568949585
Samapleu,Côte d'Ivoire,Magmatic Sulphide,Magmatic feeder,,48.038,,0.18677921645364087,
Arimao,Cuba,Porphyry,,,88.8,,0.27,
Camaguey,Cuba,Epithermal,Low sulphidation,,0.144,,2.0,
Cuba Libre,Cuba,VMS,,,1.0,,1.0,
El Cobre East-West,Cuba,Epithermal,Intermediate sulphidation,Also VMS,3.85,,1.00961039,
Elección,Cuba,Porphyry,,,11.3,,1.12,
Guachinango,Cuba,VMS,,,5.0,,0.81,
Hierro Mantua,Cuba,VMS,,,11.39,,1.76,
Jucaro,Cuba,VMS,,,0.58,,1.38,
La Cristina,Cuba,VMS,,,0.5,,1.5,
Mantua,Cuba,VMS,,,11.979,,2.003801653,
Vega Grande-Juanica,Cuba,Epithermal,Intermediate sulphidation,,0.8,,1.15,
Victoria,Cuba,VMS,,,0.54,,0.86,
Agrokipia,Cyprus,VMS,,,5.5,,0.5396363636,
Apliki,Cyprus,VMS,,,1.7,,1.8,
Kokkinoyia,Cyprus,VMS,,,1.5,,2.266666667,
Kynousa,Cyprus,VMS,,,0.52,,2.3,
Limni,Cyprus,VMS,,,17.0,,1.0,
Mathiati,Cyprus,VMS,,,2.8,,0.2,
Mavrovouni,Cyprus,VMS,,,15.0,,3.8,
Mousoulos-Kalavasos,Cyprus,VMS,,,6.92,,1.0,
Phoenix,Cyprus,VMS,,,15.0,,0.5,
Skouriotissa,Cyprus,VMS,,,4.124637681,,2.3,
Tisova,Czech Republic,VMS,Besshi-type,,3.553,,1.04,
Ampliacion Pueblo Viejo-La Lechoza,Dominican Republic,VMS,,,1.348,,0.54,
Bayaguana-Cerro Kiosko,Dominican Republic,Epithermal,High sulphidation,,4.925,,0.9834416244,
Bayaguana-Cerro Verde,Dominican Republic,Epithermal,High sulphidation,,0.515,,0.17,
Bayaguana-Doña Amanda,Dominican Republic,Epithermal,High sulphidation,,127.8,,0.31,
Bayaguana-Doña Loretta,Dominican Republic,Epithermal,High sulphidation,,8.2,,0.5,
Bayaguana-Loma Pesada/Anomaly B,Dominican Republic,Epithermal,High sulphidation,,1.405,,2.130996441,
Cerro de Maimón,Dominican Republic,VMS,,,3.37,,2.2,
La Escandalosa Sur,Dominican Republic,Epithermal,Intermediate sulphidation,,4.862835,,0.156,
Las Animas,Dominican Republic,VMS,,,1.45,,2.447835862,
Pueblo Viejo,Dominican Republic,Epithermal,High sulphidation,,323.485,156.4616667,0.08798652694,0.09435343055
Romero-Romero South,Dominican Republic,Epithermal,Intermediate sulphidation,,57.55,,0.3585664639,
Chaucha,Ecuador,Porphyry,,,400.0,,0.4,
Condor-El Hito,Ecuador,Porphyry,,,161.0,,0.31,
Condor-Los Cuyes,Ecuador,Epithermal,Intermediate Sulphidation,,46.8,,0.02,
Condor-Santa Barbara,Ecuador,Porphyry,,,542.173,,0.1,
Condor-Soledad,Ecuador,Epithermal,Intermediate Sulphidation,,54.9,,0.02,
Curipamba-El Domo,Ecuador,VMS,,,9.962,,2.029945794,
Fierro Urcu,Ecuador,Porphyry,,,53.5,,0.2,
Gaby,Ecuador,Porphyry,,,675.1,,0.08223033625,
La Plata,Ecuador,VMS,,,0.84,,4.06,
Llurimagua (Junin),Ecuador,Porphyry,,,982.0,,0.89,
Loma Larga (Quimsacocha),Ecuador,Porphyry,,,25.2,11.638,0.2223412698,0.29
Mirador-Mirador Norte,Ecuador,Porphyry,,,1188.49,,0.510221794,
Panantza,Ecuador,Porphyry,,,547.0,,0.6,
San Carlos,Ecuador,Porphyry,,,764.0,,0.52,
Tres Chorreras (3C Breccia-Epithermal),Ecuador,Epithermal,Low sulphidation,,47.692,,0.1276182588,
Warintza,Ecuador,Porphyry,,,206.635,,0.41,
Abu Marawat,Egypt,Orogenic Au,,,2.879,,0.77,
Um Samiuki,Egypt,VMS,,,0.3,,1.15,
Asmara-Adi Nefas,Eritrea,VMS,,,1.841,1.682,1.78,1.6
Asmara-Adi Raffi (Adi Rassi),Eritrea,VMS,,,15.77,,0.54,
Asmara-Debarwa,Eritrea,VMS,,,3.993,1.831,2.425815177,3.80715456
Asmara-Emba Derho,Eritrea,VMS,,,85.01,50.034,0.6693294906,0.7245313187
Bisha,Eritrea,VMS,,,28.5,20.876,1.113547368,1.154540621
Bisha-Harena,Eritrea,VMS,,,14.59,1.025,1.299568197,0.89
Bisha-Hambok,Eritrea,VMS,,,6.862,,1.13993005,
Bisha-Northwest,Eritrea,VMS,,,3.75,,1.146826667,
Adyabo (Mato Bula-Da Tambuk),Ethiopia,VMS,,,9.315,,0.4,
Harvest-Terakimti,Ethiopia,VMS,,,6.051,,1.253135019,
Namosi JV (Waisoi-Wainaulo),Fiji,Porphyry,Cu,,2150.841941,1330.125937,0.3501315789,0.37
Tholo-i-Suva,Fiji,VMS,,,26.0,,0.12,
Wainaleka,Fiji,VMS,,,0.01,,1.5,
Ala-Penikkavaara,Finland,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,3.5,,0.21,
Arctic-Suhanko,Finland,Magmatic Sulphide,Layered Intrusion,Stratabound Contact-type,208.5,,0.2244988009592326,
Dingelvik,Finland,Sediment-hosted Stratiform/Stratabound Cu,,,27.5,,0.77,
Haarakumpu,Finland,Orogenic Au/IOCG?,,,4.68,,0.34,
Hannukainen-Kuervitikko,Finland,IOCG,,,250.0,114.8,0.17244,0.185
Haukiaho,Finland,Magmatic Sulphide,Intrusion-related,,32.975,,0.21751953904473084,
Haveri,Finland,IOCG,,,24.7,,0.1271428571,
Hitura,Finland,Magmatic Sulphide,Intrusion-related,,4.72,1.656,0.1906504237,0.18
Hoikka,Finland,VMS,,,0.2,,0.5,
Karankalahti,Finland,VMS?,,,0.37,,1.02,
Karhunjupukka,Finland,Magmatic Fe-Ti-V Oxide-related,,,5.2,,0.03,
Kaukua,Finland,Magmatic Sulphide,Intrusion-related,,15.34,,0.14621172750977834,
Kettukumpu,Finland,VMS,,,0.4,,0.44,
Kevitsa,Finland,Magmatic Sulphide,Layered Intrusion,,332.9,154.5,0.3348272755,0.36
Kilvenjoki,Finland,Magmatic Sulphide,Layered Intrusion,Offset-type,0.175,,6.11,
Kilvenlatvalampi,Finland,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,3.2,,0.5,
Koivukivalonaapa,Finland,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,0.84,,0.1,
Kopsa,Finland,Intrusion-Related Au,Possibly orogenic related,,16.4,,0.1582317073,
Kotalahti-Hanhisalo,Finland,Magmatic Sulphide,Intrusion-related,,0.143,,0.2,
Kotalahti-Heiskalanmäki,Finland,Magmatic Sulphide,Intrusion-related,,0.14,,0.2,
Kotalahti-Kokka A/B,Finland,VMS,,,2.47,,0.01,
Kotalahti-Niinimäki,Finland,Magmatic Sulphide,Intrusion-related,,2.7,,0.14,
Kotalahti-Riihilahti,Finland,VMS,,,0.7,,0.3,
Kotalahti-Sarkalahti,Finland,Magmatic Sulphide,Intrusion-related,,0.19,,0.33,
Kotalahti-Valkeisenranta,Finland,Magmatic Sulphide,Intrusion-related,,1.54,,0.29,
Kotalahti-Vehmasjärvi,Finland,Magmatic Sulphide,Intrusion-related,,0.036546,,0.69,
Kuhmo Group,Finland,IOCG?,Unclassified,,4.34,,0.15804147465437787,
Kuusijärvi,Finland,Magmatic Sulphide,Stratabound Contact-type,,6.975,,0.38,
Kylylahti,Finland,VMS,,,6.7,2.9,0.8934328358,1.372413793
Lavotta,Finland,Magmatic Sulphide,Layered Intrusion,Stratabound Contact-type,3.0,,0.26,
Liakka,Finland,Magmatic Sulphide,Intrusion-related,,0.25,,0.78,
Niittylampi,Finland,Magmatic Sulphide,Stratabound Contact-type,,1.037,,0.49,
Nutturalampi,Finland,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,0.4,,0.09,
Oravainen,Finland,Magmatic Sulphide,Magmatic Feeder,,1.3,,0.16,
Outokumpu-Hautalampi/Keretti,Finland,VMS,,,3.1599999999999997,,0.36,
Outokumpu-Särkiniemi,Finland,VMS,,,0.1,,0.35,
Paasivaara,Finland,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,5.0,,0.28,
Pahtavuoma,Finland,VMS,,,21.1,,0.3,
Perttilahti,Finland,VMS,,,1.324,,2.15,
Petrovaara,Finland,Sediment-hosted Pb-Zn,Sedex?,,0.149,,1.31,
Pyhäsalmi,Finland,VMS,,,11.375,4.796,0.78,1.04
